activation_composition,architecture,mean_test_accuracy,std_test_accuracy,best_test_accuracy,n_trials,epochs,batch_size
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'softplus', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'softplus'))","[7, 5]",0.8955,0.005107249749131119,0.9013,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh'), ('relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[7, 5]",0.8940400000000001,0.007283021351060264,0.9017,5,10,128
"(('relu', 'softplus', 'softplus', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'tanh', 'tanh'))","[5, 7]",0.8790999999999999,0.007965676368017958,0.8885,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'tanh', 'tanh'), ('softplus', 'softplus', 'softplus', 'tanh', 'tanh'))","[7, 5]",0.89596,0.004656865898863748,0.9009,5,10,128
"(('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus', 'tanh', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'tanh'))","[7, 5]",0.88192,0.011338147996917288,0.9016,5,10,128
"(('leaky_relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'softplus', 'softplus', 'softplus', 'softplus', 'tanh'))","[5, 7]",0.8789,0.007265810347098247,0.8864,5,10,128
"(('leaky_relu', 'relu', 'relu', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu'))","[5, 7]",0.8861000000000001,0.006900434768911318,0.8929,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'relu', 'softplus', 'softplus'))","[7, 5]",0.89946,0.005478174878552156,0.9041,5,10,128
"(('tanh', 'tanh', 'tanh', 'tanh', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'softplus', 'softplus', 'tanh', 'tanh'))","[6, 6]",0.8845000000000001,0.013153402601608452,0.9043,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh'), ('leaky_relu', 'relu', 'softplus', 'softplus', 'softplus', 'softplus'))","[6, 6]",0.90166,0.0007761443164772859,0.9026,5,10,128
"(('leaky_relu', 'leaky_relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh'))","[6, 6]",0.8949000000000001,0.008785670150876349,0.9047,5,10,128
"(('relu', 'softplus', 'softplus', 'softplus', 'softplus', 'softplus'), ('leaky_relu', 'leaky_relu', 'relu', 'relu', 'softplus', 'tanh'))","[6, 6]",0.9025399999999999,0.0065904779796309085,0.9102,5,10,128
"(('relu', 'relu', 'relu', 'relu', 'relu', 'tanh'), ('leaky_relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh'))","[6, 6]",0.88914,0.00972390867912694,0.9006,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh', 'tanh'), ('leaky_relu', 'relu', 'relu', 'tanh', 'tanh', 'tanh', 'tanh'))","[5, 7]",0.8852399999999999,0.005889855685838148,0.8943,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'softplus', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'relu', 'tanh'))","[6, 6]",0.8931799999999999,0.0074494026606164885,0.9013,5,10,128
"(('leaky_relu', 'relu', 'relu', 'relu', 'tanh', 'tanh'), ('leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'leaky_relu', 'tanh'))","[6, 6]",0.8897400000000001,0.02087779681863005,0.9045,5,10,128
"(('leaky_relu', 'leaky_relu', 'leaky_relu', 'softplus', 'tanh', 'tanh', 'tanh'), ('relu', 'relu', 'relu', 'relu', 'tanh'))","[7, 5]",0.8949,0.001533623161014467,0.8979,5,10,128
